cliente,n_operaciones,n_vigentes,monto_total,saldo_total,plazo_prom,tasa_prom,patrimonio_tec,max_dias_mora,oficina,tipo_credito,garantia,sexo,calificacion_riesgo,antiguedad_max_dias,dias_hasta_ultimo_venc,riesgo_actual
22736,2,0,37840,2.0,16.0,15.745,30109.0,573,4,MICROCRÉDITO,HIPOTECA,M,E,1249,-778,1
22790,2,2,45000,30191.670000000002,72.0,15.344999999999999,144054.61,0,4,CONSUMO,HIPOTECA,M,A1,1108,1652,0
22817,3,3,33000,20189.63,56.0,16.063333333333333,21907.4,0,4,MICROCRÉDITO,PERSONAL,M,A1,1301,1171,0
22836,2,2,21000,15869.01,49.5,15.09,64214.0,0,4,CONSUMO,PERSONAL,F,A1,581,1974,0
23243,2,2,36000,7801.56,42.0,15.44,120000.0,0,5,CONSUMO,PERSONAL,M,A1,1435,755,0
23526,2,2,59600,55851.68,204.5,15.0,78501.0,0,10,CONSUMO,DPF,M,A1,204,1625,0
23848,2,2,15000,13875.16,42.0,14.59,110278.0,0,5,CONSUMO,PERSONAL,F,A1,163,1664,0
25599,2,2,54200,50012.479999999996,120.0,9.85,36503.0,0,1,INMOBILIARIO,HIPOTECA,M,A1,573,3218,0
26069,2,2,20000,16772.489999999998,54.0,15.620000000000001,50000.0,0,5,CONSUMO,PERSONAL,F,A1,533,1617,0
26103,2,2,12000,9334.529999999999,36.5,14.49,113281.04,0,5,CONSUMO,PERSONAL,F,A1,505,1251,0
26482,2,2,24200,18148.379999999997,78.0,14.99,25150.0,0,3,CONSUMO,PERSONAL,F,A1,1234,2028,0
26554,2,2,21000,20067.09,54.0,14.59,82552.61,0,5,CONSUMO,PERSONAL,F,A1,125,2121,0
26592,2,0,4275,229.09,17.0,15.5,15368.0,714,5,CONSUMO,PERSONAL,M,E,1065,-534,1
27318,2,2,5800,5416.11,24.0,14.59,250000.0,0,5,CONSUMO,PERSONAL,M,A1,89,1087,0
27502,2,2,4500,1992.8400000000001,47.5,14.25,84550.0,0,5,CONSUMO,DPF,M,A1,1073,753,0
28701,2,2,16500,10513.43,66.0,14.99,120000.0,0,1,CONSUMO,PERSONAL,F,A1,1330,1239,0
28763,2,2,1400,1284.15,280.0,13.495000000000001,2000.0,0,5,CONSUMO,DPF,F,A1,552,36,0
28842,2,2,12500,12055.81,60.0,15.19,14761.5,2,1,CONSUMO,PERSONAL,M,A1,327,1822,1
28908,2,2,50400,50400.0,91.0,15.0,164500.0,0,10,CONSUMO,DPF,F,A1,64,27,0
28967,2,1,30500,22213.120000000003,70.5,14.49,7564.0,154,1,CONSUMO,PERSONAL,F,A3,1188,1642,1
29992,2,2,23500,19787.86,13.0,16.245,33928.0,0,4,CONSUMO,PERSONAL,M,A1,468,2448,0
30116,2,2,25500,13120.83,6.0,14.395,153209.42,0,4,CONSUMO,PERSONAL,M,A1,1112,621,0
30351,2,2,15500,14170.71,48.0,14.54,83681.51,0,4,CONSUMO,PERSONAL,M,A1,334,1496,0
30389,2,2,12000,7272.31,30.0,15.495000000000001,49116.0,0,4,CONSUMO,PERSONAL,M,A1,617,558,0
34775,2,2,120000,90766.53,66.0,18.0,357979.24,0,4,MICROCRÉDITO,HIPOTECA,M,A1,827,2256,0
34846,2,2,16000,9824.92,48.0,14.695,116414.0,0,4,CONSUMO,PERSONAL,F,A1,986,1541,0
35085,2,2,40400,30498.010000000002,78.0,15.344999999999999,21739.0,0,1,CONSUMO,PERSONAL,F,A1,1086,1832,0
35099,2,2,33500,22002.93,48.0,15.75,119878.0,0,4,MICROCRÉDITO,PERSONAL,M,A1,526,1318,0
36350,2,2,26500,20880.74,95.0,12.65,40339.0,0,1,INMOBILIARIO,HIPOTECA,F,A1,1136,2506,0
36809,2,2,19000,13465.05,30.5,14.745000000000001,77682.0,0,4,CONSUMO,PERSONAL,F,A1,881,946,0
37034,2,2,26000,20745.15,66.0,15.344999999999999,91878.0,0,3,CONSUMO,PERSONAL,M,A1,820,2058,0
37306,2,2,28100,15369.5,54.0,16.244999999999997,51554.7,0,5,CONSUMO,PERSONAL,M,A1,1140,929,0
38100,2,2,8000,6530.530000000001,30.0,14.54,16785.0,0,4,CONSUMO,PERSONAL,F,A1,358,918,0
38262,2,2,24000,7091.23,33.0,13.99,69879.38,0,4,CONSUMO,HIPOTECA,F,A1,1342,523,0
38315,2,2,11500,5836.41,42.0,14.695,43235.0,0,4,CONSUMO,PERSONAL,M,A1,1009,1104,0
38457,2,2,28000,11040.45,24.0,17.725,40041.0,0,3,MICROCRÉDITO,PERSONAL,M,A1,894,446,0
38650,2,2,45000,43314.26,78.0,11.99,87273.0,0,4,CONSUMO,HIPOTECA,M,A1,512,2840,0
38658,2,2,6000,3489.98,30.0,15.09,53984.0,0,2,CONSUMO,PERSONAL,M,A1,538,867,0
38668,2,2,21000,19976.86,72.0,16.945,56600.0,0,1,MICROCRÉDITO,PERSONAL,F,A1,448,2112,0
39222,2,2,19600,17896.95,102.0,9.92,49057.0,0,1,INMOBILIARIO,HIPOTECA,M,A1,687,3638,0
39472,2,2,17300,14660.25,72.0,14.49,8811.84,0,4,CONSUMO,PERSONAL,M,A1,660,1895,0
39601,2,2,10500,7499.07,66.0,15.245000000000001,51462.0,0,1,CONSUMO,PERSONAL,M,A1,1055,1491,0
39860,2,2,21200,19544.4,39.0,15.895,75000.0,0,7,CONSUMO,PERSONAL,M,A1,293,1617,0
39984,2,2,17000,8467.38,66.0,15.245000000000001,34578.0,0,4,CONSUMO,PERSONAL,M,A1,1294,1238,0
40242,2,2,34800,34302.7,25.5,11.99,84002.5,0,4,CONSUMO,HIPOTECA,M,A1,162,1401,0
40324,2,2,41060,35245.869999999995,102.0,11.344999999999999,116624.0,0,1,CONSUMO,HIPOTECA,M,A1,1371,3011,0
40332,2,2,34800,17358.440000000002,49.0,14.745000000000001,77032.0,0,1,CONSUMO,PERSONAL,M,A1,833,1532,0
40443,2,2,75000,46741.82,35.0,15.75,163941.0,0,4,CONSUMO,HIPOTECA,F,A1,1010,1651,0
40624,2,2,22000,13906.47,42.0,14.75,65000.0,0,5,CONSUMO,DPF,F,A1,840,994,0
40720,2,2,22490,14412.19,60.0,14.49,133819.0,0,5,CONSUMO,PERSONAL,F,A1,622,1637,0
40981,2,2,72000,61269.96,78.0,16.65,109522.0,0,4,CONSUMO,HIPOTECA,F,A1,828,1902,0
41100,2,2,23000,15139.48,54.0,15.145,22683.0,0,2,CONSUMO,PERSONAL,M,A1,1101,1395,0
41256,3,3,29000,24439.379999999997,40.0,14.86,99318.0,0,4,CONSUMO,PERSONAL,F,A1,614,1779,0
41340,2,2,13280,12494.269999999999,42.5,15.395,21543.0,6,3,CONSUMO,PERSONAL,M,A1,279,2302,1
41443,2,2,13000,9407.45,54.0,15.145,28840.0,0,3,CONSUMO,PERSONAL,F,A1,810,1297,0
41529,2,2,42000,38453.41,114.0,12.42,87583.21,0,4,CONSUMO,HIPOTECA,M,A1,701,3877,0
41649,2,2,43500,31536.6,24.5,15.25,179050.0,0,5,CONSUMO,DPF,F,A1,852,630,0
41902,2,2,159800,153982.26,103.5,14.645,532855.0,2,1,CONSUMO,HIPOTECA,M,A1,977,4271,1
42366,2,1,7000,1390.03,36.0,14.695,10000.0,280,4,CONSUMO,PERSONAL,F,B1,1196,265,1
42436,2,2,19500,13832.88,36.0,14.989999999999998,41100.0,0,7,CONSUMO,PERSONAL,M,A1,614,856,0
42677,2,2,7200,1014.97,36.0,12.675,50651.76,0,4,CONSUMO,HIPOTECA,F,A1,1058,363,0
42769,2,2,21000,16675.65,42.0,14.945,144704.39,0,4,CONSUMO,PERSONAL,F,A1,343,1121,0
43161,2,2,30000,16448.93,42.0,15.344999999999999,54031.0,0,1,CONSUMO,PERSONAL,M,A1,946,1223,0
44126,2,2,25000,13641.130000000001,60.0,14.49,20050.0,0,4,CONSUMO,PERSONAL,F,A1,1414,1597,0
44274,2,2,10000,9097.33,3.5,14.54,74835.0,0,4,CONSUMO,PERSONAL,M,A1,355,537,0
44577,2,2,13000,12599.54,109.5,15.094999999999999,101937.6,0,4,CONSUMO,DPF,F,A1,229,1597,0
44833,3,3,33000,20360.26,141.66666666666666,14.896666666666667,90750.77,0,7,CONSUMO,PERSONAL,M,A1,766,1024,0
44885,3,3,33900,26907.9,36.666666666666664,14.993333333333334,105097.0,6,6,CONSUMO,PERSONAL,F,A1,1434,1576,1
44895,2,2,30300,15270.76,60.0,15.245000000000001,27219.0,0,1,CONSUMO,PERSONAL,F,A1,1259,1293,0
45002,2,2,15200,14248.789999999999,42.0,14.09,254100.0,0,5,CONSUMO,PERSONAL,F,A1,275,2050,0
45352,2,2,31500,23329.62,48.0,14.440000000000001,168009.12,0,4,CONSUMO,PERSONAL,M,A1,686,1141,0
45518,2,2,13000,10097.7,27.0,14.870000000000001,80800.0,0,4,CONSUMO,PERSONAL,F,A1,471,1386,0
45705,2,2,30000,2877.31,42.0,14.745000000000001,100551.87,0,4,CONSUMO,PERSONAL,F,A1,1065,475,0
45901,2,2,45000,30504.14,48.0,15.75,161503.0,0,1,CONSUMO,PERSONAL,M,A1,766,1540,0
45991,2,2,26000,12302.64,65.0,15.344999999999999,93342.0,0,1,CONSUMO,PERSONAL,F,A1,610,1678,0
46066,3,3,82000,34274.31,96.0,12.56,63387.0,0,4,CONSUMO,PERSONAL,F,A1,1344,3039,0
46123,2,2,67000,63994.29,108.0,12.59,91893.0,0,1,CONSUMO,HIPOTECA,M,A1,411,4184,0
46749,2,2,40000,35842.67,96.0,11.92,354000.0,0,5,CONSUMO,HIPOTECA,F,A1,908,3485,0
46841,2,2,32300,18586.489999999998,60.0,15.5,53657.0,0,4,CONSUMO,PERSONAL,M,A1,1079,1024,0
46882,2,2,23000,20746.06,72.0,11.99,89000.0,0,1,CONSUMO,HIPOTECA,F,A1,396,2175,0
46941,2,2,70000,65211.07,102.0,11.92,133000.0,0,5,CONSUMO,HIPOTECA,F,A1,532,3859,0
47172,2,2,10000,6785.88,54.0,15.245000000000001,12000.0,0,1,CONSUMO,PERSONAL,M,A1,854,1391,0
47628,2,2,25000,16903.39,60.0,15.245000000000001,62273.0,0,1,CONSUMO,PERSONAL,M,A1,887,1155,0
47678,2,2,7000,5284.41,42.0,14.445,50263.0,0,4,CONSUMO,PERSONAL,F,A1,764,1081,0
47707,2,2,17500,12181.95,66.0,14.440000000000001,27548.57,0,4,CONSUMO,PERSONAL,M,A1,1316,1241,0
47772,2,2,3700,2238.09,11.0,14.440000000000001,33080.0,0,4,CONSUMO,PERSONAL,F,A1,351,328,0
47857,2,2,2100,568.1800000000001,12.5,15.295,169900.0,0,6,CONSUMO,PERSONAL,M,A1,594,138,0
48113,3,3,13690,10812.66,23.333333333333332,15.83,64400.0,0,4,CONSUMO,PERSONAL,F,A1,1066,1541,0
48366,3,3,60000,22763.25,56.0,15.83,107219.0,0,2,CONSUMO,PERSONAL,F,A1,1164,1389,0
48456,3,3,7500,5810.610000000001,40.0,17.793333333333333,5526.0,1,2,MICROCRÉDITO,PERSONAL,M,A1,646,1216,1
49028,2,2,10000,8007.79,60.0,15.344999999999999,6415.0,0,1,CONSUMO,PERSONAL,F,A1,950,1818,0
49271,3,3,26710,16822.0,44.0,15.83,205221.54,0,2,CONSUMO,PERSONAL,F,A1,884,1642,0
49431,2,2,55000,44950.7,40.0,18.35,150079.0,0,1,MICROCRÉDITO,PERSONAL,F,A1,936,1947,0
49629,2,2,35500,23848.61,72.0,15.09,50314.0,0,1,CONSUMO,PERSONAL,M,A1,649,1910,0
49697,3,3,37360,10927.23,56.0,14.593333333333334,16323.0,0,4,CONSUMO,PERSONAL,M,A1,1387,1147,0
50076,2,2,7000,6176.59,46.5,14.5,150000.0,0,5,CONSUMO,DPF,M,A1,327,41,0
50618,2,2,17300,13713.75,72.0,14.745000000000001,29547.32,0,4,CONSUMO,PERSONAL,F,A1,932,1627,0
50758,3,3,30000,30000.0,968.6666666666666,14.333333333333334,31500.0,0,1,CONSUMO,DPF,M,A1,482,614,0
50821,3,3,3000,2198.3500000000004,83.66666666666667,15.0,158000.0,0,5,CONSUMO,DPF,F,A1,141,216,0
50967,2,2,13500,11613.61,54.0,15.19,49408.14,0,4,CONSUMO,PERSONAL,F,A1,398,1632,0
51145,2,2,21000,16282.23,47.0,14.99,63000.0,0,6,CONSUMO,PERSONAL,M,A1,1249,1996,0
51203,2,2,37000,32886.770000000004,77.0,16.2,35128.12,0,4,MICROCRÉDITO,PERSONAL,F,A1,628,2553,0
51611,2,2,4000,1968.48,36.0,13.940000000000001,62044.73,0,4,CONSUMO,PERSONAL,F,A1,915,544,0
51829,2,2,70000,53878.78,120.0,12.344999999999999,90140.39,0,4,CONSUMO,HIPOTECA,F,A1,1290,3287,0
52636,2,2,15000,14305.29,54.0,14.59,65797.04,0,5,CONSUMO,PERSONAL,F,A1,211,1636,0
